BHK,sector,price,price_persqft,SuperArea,floor,Furnishing,facing,Car_Parking,Bathroom,Balcony,overlooking,city
3,Panathur,2.25,13966.0,1611.0,10+,Unfurnished,East,Available,2,1,Garden/Park,Bangalore
3,Panathur,2.13,12909.0,1650.0,10+,Unfurnished,East,Available,3,2,Garden/Park,Bangalore
3,Thanisandra,1.37,9648.0,1420.0,8,Unfurnished,North - East,Available,2,1,"Garden/Park, Pool",Bangalore
3,Panathur,1.62,11000.0,1473.0,5,Unfurnished,North - East,Available,2,1,"Garden/Park, Main Road",Bangalore
4,Whitefield,3.93,15023.0,2616.0,10+,Unfurnished,East,Available,3,2,Garden/Park,Bangalore
3,Whitefield,2.10,12485.0,1682.0,10,Unfurnished,East,Available,3,3,Garden/Park,Bangalore
3,others,1.60,10063.0,1590.0,2,Unfurnished,East,Available,3,2,"Garden/Park, Pool, Main Road",Bangalore
3,Sarjapur Road,1.92,9846.0,1950.0,10+,Unfurnished,East,Available,3,3,"Garden/Park, Pool, Main Road",Bangalore
3,Sarjapura,1.60,10036.0,1594.0,10,Unfurnished,East,Available,3,1,Garden/Park,Bangalore
3,others,1.60,9963.0,1606.0,10+,Semi-Furnished,North - East,Available,3,3,Garden/Park,Bangalore
3,Whitefield,2.25,12584.0,1788.0,10,Semi-Furnished,East,Available,3,3,"Garden/Park, Pool, Main Road",Bangalore
4,Whitefield,5.50,15524.0,3543.0,10+,Semi-Furnished,,Available,4,4,"Garden/Park, Pool, Main Road",Bangalore
3,Panathur,2.03,12601.0,1611.0,10,Unfurnished,East,Available,2,1,Garden/Park,Bangalore
3,others,2.11,13100.0,1611.0,10+,Unfurnished,North - East,Available,3,2,"Garden/Park, Pool, Main Road",Bangalore
2,Thanisandra Main Road,0.98,8305.0,1180.0,9,Unfurnished,East,May be not,2,2,"Pool, Garden/Park, Main Road",Bangalore
3,others,1.89,11595.0,1630.0,10+,Unfurnished,East,May be not,3,2,"Pool, Main Road",Bangalore
2,Gunjur,0.93,10109.0,920.0,3,Unfurnished,East,Available,2,1,"Garden/Park, Pool, Main Road",Bangalore
3,others,2.10,12868.0,1632.0,7,Unfurnished,East,Available,3,,Pool,Bangalore
3,Panathur,2.20,13656.0,1611.0,8,Unfurnished,East,Available,2,1,Garden/Park,Bangalore
4,Gunjur,3.20,13716.0,2333.0,5,Unfurnished,East,Available,4,2,"Garden/Park, Pool",Bangalore
3,Thanisandra Main Road,1.35,9507.0,1420.0,8,Unfurnished,North - East,Available,2,3,"Garden/Park, Pool, Main Road",Bangalore
3,Gunjur,1.75,8974.0,1950.0,5,Unfurnished,East,Available,3,2,Garden/Park,Bangalore
3,Panathur,2.15,13346.0,1611.0,10,Unfurnished,East,Available,3,2,Garden/Park,Bangalore
2,Sarjapura,0.387,4000.0,968.0,,Unfurnished,,May be not,2,1,,Bangalore
4,Whitefield,2.99,13002.0,2300.0,,Unfurnished,,May be not,4,4,,Bangalore
3,Panathur,1.99,12061.0,1650.0,10,Furnished,East,Available,2,1,,Bangalore
2,Chandapura,0.484,5500.0,880.0,5,Unfurnished,East,Available,2,2,"Garden/Park, Pool, Main Road",Bangalore
2,Chandapura,0.542,5500.0,985.0,7,Unfurnished,North,Available,2,2,"Garden/Park, Pool, Main Road",Bangalore
4,others,3.15,12050.0,2616.0,5,Unfurnished,,Available,4,2,"Garden/Park, Pool",Bangalore
3,others,2.10,13125.0,1600.0,10+,Unfurnished,East,Available,3,1,"Garden/Park, Pool, Main Road",Bangalore
3,others,2.30,14277.0,1611.0,9,Unfurnished,North - East,Available,2,1,Garden/Park,Bangalore
3,Thanisandra,1.36,9510.0,1430.0,10,Unfurnished,East,Available,3,2,Garden/Park,Bangalore
3,Chandapura,1.38,8338.0,1655.0,10+,Unfurnished,North,Available,3,2,Garden/Park,Bangalore
3,Whitefield,2.48,13696.0,1811.0,5,Furnished,,Available,3,3,"Garden/Park, Pool",Bangalore
3,Panathur,2.10,10966.0,1915.0,,Unfurnished,East,Available,3,2,"Garden/Park, Pool",Bangalore
3,Thanisandra Main Road,1.38,9650.0,1430.0,8,Unfurnished,North,May be not,2,2,"Garden/Park, Main Road",Bangalore
3,Gunjur,1.55,10650.0,1455.0,10+,Unfurnished,East,Available,2,1,"Garden/Park, Pool, Main Road",Bangalore
2,Sarjapur Road,1.36,10112.0,1345.0,10+,Unfurnished,East,Available,2,1,Garden/Park,Bangalore
3,Panathur,2.35,14688.0,1600.0,8,Unfurnished,East,Available,3,1,"Garden/Park, Main Road",Bangalore
4+,others,3.50,12069.0,2900.0,10+,Semi-Furnished,East,Available,4+,4+,"Garden/Park, Pool",Bangalore
3,Sarjapur Road,1.60,10000.0,1600.0,4,Unfurnished,North - East,May be not,3,2,Main Road,Bangalore
3,others,1.80,12587.0,1434.0,10,Unfurnished,North,Available,2,1,Garden/Park,Bangalore
3,others,2.20,13656.0,1611.0,10,Unfurnished,East,Available,2,1,Garden/Park,Bangalore
3,Panathur,2.69,14047.0,1915.0,10+,Unfurnished,East,Available,3,2,"Pool, Garden/Park, Main Road",Bangalore
2,Thanisandra Main Road,1.67,9970.0,1675.0,7,Unfurnished,North - East,Available,2,2,"Garden/Park, Pool, Main Road",Bangalore
3,Panathur,2.79,12669.0,2202.0,5,Unfurnished,North,Available,3,2,"Garden/Park, Pool, Main Road",Bangalore
3,Panathur,2.25,13966.0,1611.0,10+,Unfurnished,East,Available,3,2,"Garden/Park, Pool, Main Road",Bangalore
3,Whitefield,2.90,15934.0,1820.0,10+,Unfurnished,East,Available,3,2,Garden/Park,Bangalore
2,Thanisandra,1.13,9496.0,1190.0,10+,Unfurnished,East,Available,2,2,Garden/Park,Bangalore
2,others,1.21,10108.0,1197.0,10+,Unfurnished,East,Available,2,2,"Garden/Park, Pool",Bangalore
3,Whitefield,1.97,11712.0,1682.0,7,Unfurnished,East,Available,3,2,Main Road,Bangalore
3,others,2,12121.0,1650.0,10+,Semi-Furnished,East,Available,3,3,"Garden/Park, Pool",Bangalore
3,others,2.15,13206.0,1628.0,7,Unfurnished,East,Available,3,2,,Bangalore
2,Gunjur,1.29,9615.0,1342.0,5,Unfurnished,East,Available,2,2,"Garden/Park, Pool",Bangalore
2,Gunjur,1.30,9659.0,1346.0,2,Unfurnished,East,Available,2,2,"Garden/Park, Pool",Bangalore
3,Panathur,2.80,14286.0,1960.0,10+,Unfurnished,,May be not,3,3,,Bangalore
3,Thanisandra,1.41,8418.0,1675.0,10,Unfurnished,East,Available,2,2,"Garden/Park, Main Road",Bangalore
3,Panathur,2.55,13316.0,1915.0,7,Unfurnished,East,Available,3,3,"Garden/Park, Pool, Main Road",Bangalore
3,Gunjur,2.08,11200.0,1857.0,10+,Unfurnished,East,Available,2,1,"Garden/Park, Pool, Main Road",Bangalore
3,Panathur,2.40,14898.0,1611.0,10+,Unfurnished,East,Available,3,2,Garden/Park,Bangalore
2,Sarjapur Road,1.36,10500.0,1295.0,2,Unfurnished,East,Available,2,1,"Garden/Park, Pool, Main Road",Bangalore
2,Sarjapur Road,1.32,10154.0,1300.0,8,Unfurnished,East,Available,2,1,"Garden/Park, Pool",Bangalore
