Side_A,Side_B,Side_C,Triangle_Type
98.0,98.0,98.0,Equilateral
41.0,41.0,41.0,Equilateral
76.0,76.0,76.0,Equilateral
2.0,2.0,2.0,Equilateral
35.0,35.0,35.0,Equilateral
73.0,73.0,73.0,Equilateral
24.0,24.0,24.0,Equilateral
64.0,64.0,64.0,Equilateral
27.0,27.0,27.0,Equilateral
61.0,61.0,61.0,Equilateral
2.0,2.0,2.0,Equilateral
21.0,21.0,21.0,Equilateral
92.44,92.44,92.44,Equilateral
39.0,39.0,39.0,Equilateral
52.0,52.0,52.0,Equilateral
55.0,55.0,55.0,Equilateral
95.0,95.0,95.0,Equilateral
64.0,64.0,64.0,Equilateral
85.0,85.0,85.0,Equilateral
51.0,51.0,51.0,Equilateral
72.0,72.0,72.0,Equilateral
43.0,43.0,43.0,Equilateral
23.3,23.3,23.3,Equilateral
35.27,35.27,35.27,Equilateral
50.0,50.0,50.0,Equilateral
68.6,68.6,68.6,Equilateral
9.98,9.98,9.98,Equilateral
33.0,33.0,33.0,Equilateral
32.0,32.0,32.0,Equilateral
53.0,53.0,53.0,Equilateral
59.83,59.83,59.83,Equilateral
24.0,24.0,24.0,Equilateral
8.0,8.0,8.0,Equilateral
75.0,75.0,75.0,Equilateral
52.0,52.0,52.0,Equilateral
19.0,19.0,19.0,Equilateral
99.0,99.0,99.0,Equilateral
41.0,41.0,41.0,Equilateral
11.0,11.0,11.0,Equilateral
26.0,26.0,26.0,Equilateral
56.0,56.0,56.0,Equilateral
44.0,44.0,44.0,Equilateral
34.0,34.0,34.0,Equilateral
49.0,49.0,49.0,Equilateral
44.0,44.0,44.0,Equilateral
33.6,33.6,33.6,Equilateral
21.0,21.0,21.0,Equilateral
32.0,32.0,32.0,Equilateral
5.0,5.0,5.0,Equilateral
49.0,49.0,49.0,Equilateral
9.0,9.0,9.0,Equilateral
53.0,53.0,53.0,Equilateral
95.29,95.29,95.29,Equilateral
76.0,76.0,76.0,Equilateral
71.54,71.54,71.54,Equilateral
49.0,49.0,49.0,Equilateral
30.0,30.0,30.0,Equilateral
7.0,7.0,7.0,Equilateral
23.0,23.0,23.0,Equilateral
75.0,75.0,75.0,Equilateral
76.0,76.0,76.0,Equilateral
29.0,29.0,29.0,Equilateral
21.0,21.0,21.0,Equilateral
42.0,42.0,42.0,Equilateral
76.0,76.0,76.0,Equilateral
1.0,1.0,1.0,Equilateral
75.0,75.0,75.0,Equilateral
11.0,11.0,11.0,Equilateral
30.0,30.0,30.0,Equilateral
68.0,68.0,68.0,Equilateral
90.0,90.0,90.0,Equilateral
22.0,22.0,22.0,Equilateral
70.0,70.0,70.0,Equilateral
90.0,90.0,90.0,Equilateral
100.0,100.0,100.0,Equilateral
37.52,37.52,37.52,Equilateral
48.0,48.0,48.0,Equilateral
97.0,97.0,97.0,Equilateral
31.92,31.92,31.92,Equilateral
16.0,16.0,16.0,Equilateral
40.0,40.0,40.0,Equilateral
78.84,78.84,78.84,Equilateral
62.0,62.0,62.0,Equilateral
67.0,67.0,67.0,Equilateral
100.0,100.0,100.0,Equilateral
32.0,32.0,32.0,Equilateral
79.0,79.0,79.0,Equilateral
80.36,80.36,80.36,Equilateral
4.0,4.0,4.0,Equilateral
23.0,23.0,23.0,Equilateral
40.8,40.8,40.8,Equilateral
31.0,31.0,31.0,Equilateral
3.0,3.0,3.0,Equilateral
86.0,86.0,86.0,Equilateral
36.2,36.2,36.2,Equilateral
8.23,8.23,8.23,Equilateral
91.64,91.64,91.64,Equilateral
3.0,3.0,3.0,Equilateral
65.54,65.54,65.54,Equilateral
63.0,63.0,63.0,Equilateral
72.0,72.0,72.0,Equilateral
30.0,30.0,30.0,Equilateral
28.0,28.0,28.0,Equilateral
